Song Title,Song MD5 hash,Song difficulty,Song-wise discrimination,Song-wise EASY-clear difficulty,Song-wise HARD-clear difficulty
Primo Magic [Sparkle],fd315ea0be65ac4731ca2f8805b155ae,st2,2.9813822133241445,0.8729174592273052,1.6290953468881462
Primo Magic [SP ANOTHER],c82138d1ebe05956b3e888515c30d422,sl1,2.147909951677909,-2.312313900058858,-1.3082255092441746
Primo Magic [Pure Memories],ef7ad3f78f9741d673b4e90d9427ec58,st5,4.315353731233475,1.7964431808547259,2.5395100016789853
Prestige [EX],f7c1e23394cd15234c1231eaf1d43aff,sl10,2.5998782836641112,-0.5283714590540839,0.7345114290090956
Press [X to Pay Respect],9bf9199bc76e5114e2a3759fb48fee16,sl5,2.6961823448724362,-1.5529721273068418,-0.16009902915884047
Precious!!![真・喜悦生活],f21102f2a5305609707b757c84f9c0a7,sn7,2.001877496933025,1.6622869275235748,3.2354929799707652
Precious!!! [ANOTHER+],6b1d939c32e49543b500f47ac20fda0f,sl3,2.3788942473843258,-1.6130343656332682,-0.6731241655324844
"Precious!!! [7key,Bonus]",6300dfafb5c57ba753a9133f37ad890c,★5,2.684300453407722,-2.166531342369943,-0.968541673397618
"Precious!!! [7key,Another]",07baa34abf34131ee20ab40b70354037,sl0,1.6791317290012433,-2.827486831506127,-1.5473628995914495
Praying to the Snow [Sabbat],c70b9cefd7b63bba3c02be6cd13b394a,st5,2.5226074957645963,1.3951214145138184,2.631611846039394
Prayer [TOKI],0d760f6ff063f661a7d1a89fc660773d,sl1,2.5447650238238704,-2.217433006956268,-1.3369532386995635
Prayer [SP AZOTHER],2326ca3864a2f511d7582194e332641f,sl0,2.3354608960985956,-2.724062021988102,-1.8773269715941145
Prayer [LAST BOSS],81d2bc2d271c2bc318f478a59cdfb507,st5,4.6015823821955975,1.7303634537514685,2.4947647220974716
PrayStation [HARD],c830eec2185e22e777a8dd91456eb659,★3,2.676823995836685,-2.2398773995120265,-1.1996512273721118
PrayStation FIVE,1c0dac1c1c69b56e0b2812fc4f20f3bc,st3,4.690942596654568,1.7352622557968966,2.1893283561613557
Pourqaa [SP INSANE],2823d28ec4923a97519b40ec827aa289,sl1,2.2653786897293524,-2.099413740041704,-1.2360548283880073
Postwar Peace Project (in) Progress [Peace in the Pressure],7b2d990fa3a2c0fc71024f413e19349a,st7,5.553172967629439,2.435038586244953,3.00457204583858
Postliminium [SP INSANE],1ce4647af15a4a40410f9309b0d37378,sl2,2.172729122049427,-2.205380291709343,-1.0634266894792177
Poppy [Opium],b8ef7cfc2121dc7e62c94a09b6459a93,st3,5.323008797427202,1.5028255762021014,1.764557299844579
Poppy [Immortal],684e9005a2e263020a02e9bf01f54658,sl5,2.7349718930850413,-1.382391195686095,-0.4388968588383777
Poppin' Shower [hi-rea'du],fb8e2e64af3308e2e9190fec6424efe3,sl2,1.7746063571335033,-1.6742347441611565,-0.7328630924564539
Poppin' Shower [ANOTHER+],9978fa59025a74eb897495c0695d0199,sl8,2.867243836512932,-0.34422518721968415,0.42854096016985793
Poppin' Shower -sugarless-,6de6909c19156221d729b5e965c5cc2a,★17,3.426725433323805,0.37544387501539833,0.8077947441156077
Poppin' Shower -oversweet-,c742a9b7abd26fefedea1987d6bcfb70,st6,3.812027137494932,2.185772923948618,3.1337214011053143
Poppin' Candy [7-Violet],2129d06d9d2b2009f391c4d48f8f0e09,st3,3.307675345627588,1.342416646030871,2.2977763398145785
PopCoRian -EX-,4c2a85efe95c8ee2121effaa4627a0cf,★10,3.734606669630185,-0.43541818858671716,-0.15912824110397594
Ponder [stressful],5d96609340762dd73869182b2994c672,st4,4.880030891614809,1.6723798139325068,2.355221188045452
Pompadour,78328ee0d7a39e3d51ae1a5adc909d4d,sl0,2.2455434506105005,-2.8236448498442344,-1.8212914320604074
Polymorphism [Obscure_Fixed],782b981f7f8f050ab406ae1e96578227,sl7,2.4048598703148927,-1.2119858872221758,-0.03287088568995007
Polymorphism [MUTATION],d70a7661ed46404ca65aa03fbd18e651,st5,5.404613465375051,2.047866732126048,2.777457614983289
Polymorphism [Crystallization],88722a9b370b44ecdc3e8dbe599b4912,st2,3.6356395368659378,1.0958157835558942,1.8958874525117035
Pokemon battle imaging - No.3,4f74d9086f3192b79494cd54d98b8f7b,★10,3.139346003558145,-1.0597617928794294,0.042655394946421024
Pokemon battle imaging - No.2 [モンスターボール級],23ec31cbf0c6f4079a24a06bc94c959a,st2,3.4424373248099966,0.9879999543333964,1.7772125265848586
Poisonous Peach [Eb],56ef487b38517cae523b4720d6898dd3,sl11,3.4334738594422918,0.3392669070002484,1.0810901844558944
Poison AND÷OR Affection [INSANE],51245af100f24264cf3df0bc5523ca27,★3,2.6057028335098016,-2.3620234472948978,-1.0253917618003399
Poison AND÷OR Affection -PANDORA-,3a81a248c028249d2672f1164566c556,st0,3.5565023694072897,0.3734456287609626,1.501030701041012
Pluto [★Beginner],d8f5991b61280123f4a5bf94e7dff231,sl1,2.151485956823672,-2.2071518050603682,-1.3437812757337975
Pluto -Maniac7-,9c4c31af8e12bac036de83e99f9fe322,★7,3.153796597808111,-0.820733011071726,-0.5460128944761476
Plunge [Newtype Reflex],64dde80040dcf29d90bf79a6ea3d4324,st5,5.11202168365342,2.2173130118607096,2.7104015542595525
Plumage [Feather],3826881056cee8c997ee8815524c71cd,st0,3.2536856697643692,0.1150903207093075,1.3195773347782835
Plumage,d8b7f3bdb99dc43d4a1b9f83f9453474,sl3,2.269599395273745,-1.6649765341720382,-0.5602656977300238
Pleisure,4670a3624d1ea50b1d78addc82c86d0d,sl0,2.106549924594581,-2.9209205171056087,-1.9069432197971379
Pleasure of Being [Fuzzy navel],129d7ddd0bc9fb71e122495955a72377,sl9,2.7316542364114493,-0.302953558615312,0.5841936234796937
Play Me Your Love Song [Hexagon],ffb9dfbb5f7fd65746eeffe6b31fa66d,st5,4.292689431586852,1.9908373041349514,2.6235691929909493
Play Me Your Love Song [7KEYS ANOTHER],8d4043fa4fcc278c53f3a5df9da762e0,sl1,1.9430632631323754,-2.5304792141229795,-1.2255914538969488
Platinum [sLUNATIC],9106b18fe05a744a59a1abf0f78d7193,★★4,1.9163000988459467,2.844138072936061,3.6418504379252683
Platinum [sANOTHER],7d8ef1f3f5593e533d4c1a07466209d9,★14,3.122518864324177,0.06122815894564569,1.2094325210639212
Plastic Mind [Sacrifice],bbfb7717ccb42799b8d78bbab877d292,st7,5.233797713041299,2.526088710419349,3.189400889951092
Plastic Mind [Nebula],0f8ba8f68e3abf6b41d52113066499a5,st3,3.5446456796603187,1.513362250748142,2.1078702792929267
Plastic Mind [EX],8f4f76217b814c837860126cc0919eda,st4,4.024473398292385,1.485682975280008,2.4467162377769154
Plastic Mind [DERAY],e73457a90730035c6178f9f339eea553,st4,4.31079528034276,1.5927060694068358,2.2185424912753606
Plastic Mind [ALITHER],f6a7b2c557bfa467da2d8788cb29f7a0,★13,3.2581586079490927,-0.46178000196282254,0.49313538792327166
Plastic Mind -狂気の人形師-,59b0d1d9d39b615bb7b3b877d0b093bc,"★21, ★★1",4.472336666414843,0.9292887772216343,1.3800462192735754
Plastic Heart [SP INSANE],2c9104f4b163d6b53b7afa780e12b1e1,sl6,2.5825428546406863,-1.2509588366172395,-0.07819087150476503
Plastic Heart [SP ANOTHER],baeac3fee0f258b93dac1e13e6fc3431,sl1,2.442142076171586,-2.1226149421417824,-1.4359557635652755
Plastic Heart [Lasting Memories],9b621cef2656259570ec193c1d8fa4bf,st1,4.284710772657155,0.9563463751801823,1.461085733458935
Plasma Strike (small-boss7),9231d374ad83470ac856401fac855888,★3,2.8100903394478216,-1.5897503811941114,-0.7539531339173704
Plasma Sphere (SP kusofumen),c8d3f577205dd8d30158fb0b9686baa8,st3,4.721060226669343,1.2510619753961085,2.122135716772771
Planisphere [Hexagon],d01de66b7380100d80ab03b3619f63a9,st3,3.714243249746261,1.505346327389477,2.311110428837874
Planisphere [ANOTHER],f87d2e65398c60f7eab4b58b36c80b3f,sl0,1.6190853407878047,-2.421427887421527,-1.030407556260392
Planisphere [ANOTHER+],2a45cbc3033ad88509070c8fb036b7ec,★17,3.7501979536348826,0.1313943231634068,0.8420514443981801
Pixel Time -TSC Remix [TALES SAGACHRONICLE],551e987216a571bb5e6e99fa27ec1f1d,★★7,0.9150211706877778,3.342617614018291,3.633282140921754
Pixel Princess [Peach],548879842242c5838e57a9cedaf93022,sl6,2.5202062416190025,-1.356455761130064,0.0054098081820215475
Pixel Princess [Dotted],45a7e0918d78ec1a6f15dbbdbbc8006d,st8,3.530246319716007,2.36578044755399,3.5333606871996524
Pixel Princess [Cutest],8fd6aa79eb5aded7ef781c4c774d98fd,st3,4.513190933166096,1.6071650302771623,2.2684768740400187
Pillars of Ash [INSANE],9f046029349759781a84b0ea47fa0c39,st4,4.528330916113917,1.6267602875071816,2.5057828244606846
Pictured as Perfect [Incomplete],06513301af4fce7a801ea24207350be2,sl6,2.349445902216482,-1.6200228436670014,-0.17001452117694926
Phynalvent [offensive],419723373edcfa46b8437a45226fbcc1,sl3,2.294257321639295,-1.7942442407388903,-0.8362384247298051
PhonDrome! [GALAPAGOS'],774f2c6f9635ea39a0d1b8480ff0f253,sl8,2.86875647439099,-0.4362454719688962,0.46310045687613377
Philadelphia Xperiment [SP HORIZONTAL],2ab7813a4fd20444da7351d25a05bb96,sl11,2.632529688177422,0.11981953609420017,0.949881794239542
Philadelphia Xperiment [Experiments],889f9a6b4361412b29b5604a7922a78a,sl2,2.3966857119781415,-1.4841439097566762,-0.9582892948497073
Phantribe [SP LUNATIC],ae3f83e9b4f58d5d7da06e3be29e54a0,st6,4.705340297766538,2.3357148099436364,3.003300413053125
Phantom [SP INSANE],fb0233d3c4940c3bb183477811e012ce,sl1,2.5476369730050132,-1.985375081242246,-1.1335564404605718
Phantastic Holiday [SP PHANTASM],1be1ca476fe22df2d14ff87ea6ae29a5,sl2,2.1894113761978358,-1.8820298297317606,-0.9332596976332312
"Petit Generation [7840d,6h,20m]",2bbe7343241ebd482582247537da36f2,sl6,2.559711560220004,-1.0428714289452117,-0.025745614378977377
Pesante Killer [DEATH],95897a9199b2ff1b3df04b098ad20a72,st1,3.3637023435656723,0.9296656487261333,1.866517138831927
Pernicious Deed [陸上],a5604183afc075ba7b730d4d2cb763a0,st3,3.582702707825499,1.0776937005750018,2.166276431964055
Pernicious Deed [Other],2dbf8cf76b568616d65c7f75a263604c,st9,4.726700617244286,2.6587257052958617,3.306763720307433
